,area_type,availability,location,size,total_sqft,bath,balcony,price
6113,Super built-up  Area,1,others,3,1570.0,3.0,2.0,78.0
6114,Super built-up  Area,1,others,2,1019.0,2.0,1.0,45.9
6115,Super built-up  Area,1,Whitefield,2,1355.0,3.0,3.0,76.0
6116,Super built-up  Area,1,others,3,1537.0,3.0,2.0,110.0
6117,Super built-up  Area,1,Whitefield,4,4075.0,5.0,3.0,226.0
6118,Super built-up  Area,1,Raja Rajeshwari Nagar,3,1550.0,3.0,3.0,52.45
6119,Built-up  Area,1,Raja Rajeshwari Nagar,2,1100.0,2.0,1.0,50.0
6120,Super built-up  Area,1,others,3,1750.0,3.0,2.0,150.0
6121,Super built-up  Area,0,9th Phase JP Nagar,2,1466.0,2.0,2.0,71.0
6122,Super built-up  Area,1,Rachenahalli,3,1550.0,3.0,2.0,72.5
6123,Super built-up  Area,1,Akshaya Nagar,3,2300.0,4.0,3.0,102.0
6124,Super built-up  Area,0,Kengeri,1,540.0,1.0,1.0,22.5
6125,Plot  Area,1,8th Phase JP Nagar,3,950.0,3.0,2.0,130.0
6126,Built-up  Area,1,others,7,2800.0,7.0,1.0,250.0
6127,Super built-up  Area,1,others,2,1020.0,2.0,3.0,48.0
6128,Super built-up  Area,1,others,3,2880.0,3.0,2.0,501.0
6129,Super built-up  Area,1,Hebbal,3,1987.0,4.0,2.0,165.0
6130,Super built-up  Area,1,Hoodi,2,1305.0,2.0,1.0,75.0
6131,Built-up  Area,1,Sarjapur,4,2100.0,3.0,1.0,125.0
6132,Built-up  Area,0,Electronic City,2,1125.0,2.0,1.0,32.5
6133,Super built-up  Area,1,others,2,1225.0,2.0,2.0,49.5
6134,Super built-up  Area,1,Hennur,2,1255.0,2.0,1.0,55.5
6135,Super built-up  Area,1,others,2,1191.0,2.0,1.0,90.0
6136,Plot  Area,1,Uttarahalli,6,3600.0,6.0,2.0,303.0
6137,Built-up  Area,0,Electronic City,2,1165.0,2.0,1.0,33.64
6138,Super built-up  Area,0,others,2,865.0,2.0,1.0,35.11
6139,Super built-up  Area,1,Nagarbhavi,3,1850.0,2.0,2.0,88.0
6140,Super built-up  Area,1,others,2,497.0,1.0,1.0,17.0
6141,Super built-up  Area,0,Hennur Road,2,1232.0,2.0,2.0,89.0
6142,Super built-up  Area,0,Thanisandra,3,1732.0,3.0,3.0,85.73
6143,Super built-up  Area,1,Yelahanka,3,1614.0,2.0,1.0,100.0
6144,Built-up  Area,1,others,2,600.0,1.0,1.0,22.0
6145,Super built-up  Area,1,Thigalarapalya,3,2072.0,4.0,2.0,155.0
6146,Super built-up  Area,1,Electronic City,2,919.0,2.0,2.0,34.0
6147,Built-up  Area,1,others,4,2100.0,4.0,1.0,90.0
6148,Built-up  Area,1,others,4,672.0,3.0,1.0,54.0
6149,Built-up  Area,1,others,8,800.0,6.0,3.0,110.0
6150,Plot  Area,1,others,3,1200.0,3.0,1.0,150.0
6152,Built-up  Area,1,others,2,1000.0,2.0,2.0,42.0
6153,Super built-up  Area,1,Whitefield,2,1216.0,2.0,1.0,75.0
6154,Super built-up  Area,1,others,4,2245.0,4.0,2.0,154.0
6155,Super built-up  Area,0,Bannerghatta Road,3,1476.0,3.0,1.0,125.0
6156,Super built-up  Area,1,Ambedkar Nagar,3,1852.0,3.0,2.0,130.0
6157,Super built-up  Area,0,others,2,1225.0,2.0,2.0,47.0
6158,Super built-up  Area,1,Panathur,3,1597.0,3.0,1.0,67.12
6159,Super built-up  Area,0,Jakkur,3,2423.0,4.0,3.0,160.0
6160,Super built-up  Area,0,Marathahalli,2,1152.0,2.0,1.0,90.0
6161,Super built-up  Area,1,Harlur,3,1762.0,3.0,2.0,133.0
6162,Plot  Area,1,Kammasandra,3,1400.0,3.0,2.0,92.0
6164,Plot  Area,1,others,6,2400.0,6.0,3.0,400.0
6165,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1185.0,2.0,2.0,40.17
6166,Super built-up  Area,0,Yelahanka,3,1890.0,3.0,2.0,108.0
6167,Super built-up  Area,1,others,3,1247.0,2.0,2.0,58.0
6169,Plot  Area,1,others,6,1000.0,6.0,3.0,275.0
6170,Super built-up  Area,1,Bellandur,2,1201.0,2.0,2.0,59.99
6171,Built-up  Area,0,others,2,830.0,2.0,2.0,40.0
6172,Built-up  Area,0,Electronic City Phase II,2,1165.0,2.0,1.0,30.29
6173,Super built-up  Area,1,Bommanahalli,2,1100.0,1.0,2.0,55.0
6175,Super built-up  Area,1,others,3,1685.0,3.0,2.0,60.0
6176,Super built-up  Area,1,others,4,3131.0,4.0,3.0,349.0
6177,Super built-up  Area,1,others,2,1165.0,2.0,1.0,43.0
6178,Super built-up  Area,1,others,2,827.0,2.0,1.0,45.0
6179,Plot  Area,1,others,3,396.0,2.0,0.0,48.0
6180,Plot  Area,1,Uttarahalli,4,1200.0,4.0,3.0,179.0
6181,Built-up  Area,1,Electronics City Phase 1,1,635.0,1.0,0.0,26.0
6182,Built-up  Area,1,Whitefield,4,4000.0,4.0,3.0,380.0
6183,Super built-up  Area,1,others,2,1050.0,2.0,1.0,50.0
6184,Built-up  Area,1,others,5,600.0,4.0,3.0,76.0
6185,Super built-up  Area,0,Jakkur,3,1819.18,3.0,2.0,168.0
6186,Plot  Area,1,Kanakapura,3,1500.0,3.0,3.0,125.0
6187,Super built-up  Area,1,others,3,1500.0,2.0,2.0,57.0
6188,Super built-up  Area,1,others,3,2850.0,4.0,3.0,470.0
6189,Super built-up  Area,1,Raja Rajeshwari Nagar,3,1751.0,3.0,3.0,72.0
6190,Super built-up  Area,0,others,4,4750.0,6.0,1.0,1102.0
6191,Super built-up  Area,0,Bommasandra,2,1020.0,2.0,1.0,40.89
6192,Super built-up  Area,1,Thanisandra,2,1148.0,2.0,1.0,43.5
6194,Plot  Area,1,Basavangudi,6,1754.0,6.0,2.0,650.0
6196,Super built-up  Area,1,others,2,1060.0,2.0,1.0,49.27
6197,Built-up  Area,1,Haralur Road,2,1300.0,2.0,2.0,60.0
6198,Built-up  Area,1,Hormavu,4,3000.0,4.0,0.0,100.0
6199,Super built-up  Area,1,Bellandur,2,1325.0,2.0,2.0,65.0
6200,Super built-up  Area,1,others,2,1261.0,2.0,2.0,61.0
6201,Super built-up  Area,1,others,2,1100.0,2.0,2.0,46.0
6202,Built-up  Area,1,Ramamurthy Nagar,2,700.0,2.0,1.0,33.0
6203,Super built-up  Area,1,7th Phase JP Nagar,3,1675.0,2.0,2.0,135.0
6204,Plot  Area,1,others,4,3400.0,4.0,2.0,190.0
6205,Super built-up  Area,0,others,4,3260.0,5.0,3.0,388.0
6206,Super built-up  Area,1,others,2,1180.0,2.0,2.0,56.0
6207,Built-up  Area,1,Uttarahalli,2,1160.0,2.0,2.0,45.0
6208,Super built-up  Area,1,Kasavanhalli,4,1863.0,3.0,2.0,105.0
6209,Super built-up  Area,1,Sahakara Nagar,3,1914.0,3.0,2.0,149.0
6210,Super built-up  Area,1,others,3,1458.0,3.0,2.0,79.0
6211,Plot  Area,1,others,5,1200.0,4.0,2.0,115.0
6212,Built-up  Area,1,others,2,1105.0,2.0,1.0,40.0
6213,Super built-up  Area,1,Hulimavu,3,3035.0,5.0,3.0,220.0
6214,Plot  Area,1,Bannerghatta Road,6,1200.0,6.0,3.0,160.0
6216,Super built-up  Area,1,Yelahanka,3,1556.0,3.0,2.0,86.0
6217,Super built-up  Area,1,Jigani,2,918.0,2.0,2.0,50.0
6218,Super built-up  Area,1,Sarjapur  Road,3,1455.0,2.0,1.0,98.0
6219,Super built-up  Area,1,others,2,1205.0,2.0,1.0,70.0
6220,Super built-up  Area,1,others,2,1194.0,2.0,1.0,65.0
6221,Plot  Area,1,others,2,1200.0,2.0,0.0,75.0
6222,Built-up  Area,1,Bannerghatta Road,3,1100.0,2.0,2.0,52.0
6223,Super built-up  Area,1,Sarjapur  Road,3,1405.0,3.0,2.0,48.87
6224,Super built-up  Area,1,Subramanyapura,2,929.0,2.0,1.0,56.0
6227,Super built-up  Area,1,8th Phase JP Nagar,4,2100.0,4.0,3.0,92.0
6228,Super built-up  Area,0,Channasandra,2,1065.0,2.0,1.0,40.47
6229,Super built-up  Area,0,Bannerghatta Road,3,1532.5,3.0,0.0,84.29
6230,Plot  Area,1,Kengeri,6,1500.0,6.0,3.0,150.0
6231,Plot  Area,1,others,5,1200.0,5.0,2.0,99.0
6232,Super built-up  Area,0,Hormavu,2,1093.0,2.0,1.0,32.78
6233,Built-up  Area,1,Anandapura,2,1250.0,2.0,2.0,45.0
6234,Super built-up  Area,1,Marathahalli,3,1680.0,3.0,3.0,105.0
6235,Super built-up  Area,1,Nagarbhavi,2,1146.0,2.0,1.0,50.0
6236,Super built-up  Area,0,others,2,1250.0,2.0,3.0,58.0
6237,Super built-up  Area,0,Ramagondanahalli,3,1451.0,3.0,1.0,60.44
6238,Super built-up  Area,1,others,3,1424.0,2.0,3.0,55.0
6239,Super built-up  Area,1,Gottigere,3,1435.0,2.0,3.0,62.0
6240,Super built-up  Area,0,Devanahalli,1,658.0,1.0,0.0,26.91
6241,Super built-up  Area,0,Bommanahalli,3,1300.0,3.0,2.0,45.0
6242,Super built-up  Area,1,Whitefield,2,1242.0,2.0,2.0,65.0
6243,Super built-up  Area,1,Marathahalli,3,1910.0,3.0,3.0,119.0
6244,Super built-up  Area,1,Yelahanka,3,1610.0,4.0,2.0,85.0
6245,Super built-up  Area,1,Hulimavu,2,1127.0,2.0,1.0,65.0
6246,Super built-up  Area,1,Yelahanka,3,1075.0,2.0,1.0,42.0
6247,Super built-up  Area,1,Mysore Road,2,1155.0,2.0,1.0,51.0
6248,Plot  Area,1,others,5,1280.0,3.0,1.0,250.0
6249,Super built-up  Area,1,others,3,1250.0,3.0,1.0,55.0
6250,Plot  Area,0,others,3,2200.0,4.0,2.0,160.0
6251,Built-up  Area,1,others,3,2400.0,3.0,1.0,150.0
6252,Super built-up  Area,1,Chandapura,2,876.0,2.0,2.0,29.5
6253,Super built-up  Area,1,Nagarbhavi,3,1850.0,2.0,2.0,89.0
6254,Super built-up  Area,0,Kadugodi,2,1314.0,2.0,3.0,83.0
6255,Super built-up  Area,0,Rachenahalli,1,690.0,1.0,1.0,39.8
6257,Built-up  Area,1,others,2,1230.0,2.0,3.0,55.0
6258,Super built-up  Area,0,Bommasandra,2,920.0,2.0,1.0,37.2
6259,Built-up  Area,1,Sarjapur  Road,3,1850.0,3.0,3.0,140.0
6260,Super built-up  Area,1,Electronic City,2,1073.0,2.0,2.0,60.0
6261,Super built-up  Area,1,others,3,1540.0,3.0,3.0,76.0
6262,Super built-up  Area,1,Kanakpura Road,3,1550.0,3.0,3.0,63.5
6263,Super built-up  Area,1,others,2,1198.0,2.0,1.0,65.0
6264,Super built-up  Area,1,others,3,1656.0,3.0,2.0,90.0
6265,Super built-up  Area,1,others,3,1900.0,3.0,3.0,155.0
6266,Built-up  Area,1,Ramagondanahalli,3,1910.0,3.0,2.0,142.0
6267,Super built-up  Area,1,Mysore Road,2,1003.0,2.0,1.0,43.0
6270,Super built-up  Area,0,Thanisandra,3,2172.0,3.0,2.0,76.02
6271,Plot  Area,1,others,4,2400.0,4.0,2.0,358.0
6272,Plot  Area,1,others,2,1200.0,1.0,2.0,95.0
6273,Super built-up  Area,1,Whitefield,3,1548.0,3.0,1.0,65.0
6275,Super built-up  Area,0,Whitefield,4,2856.0,5.0,0.0,154.5
6276,Super built-up  Area,0,Hosur Road,3,1689.0,3.0,1.0,103.0
6277,Super built-up  Area,1,Electronic City Phase II,2,1031.0,2.0,1.0,53.0
6278,Super built-up  Area,0,Bhoganhalli,4,2119.0,4.0,2.0,111.0
6279,Plot  Area,0,Whitefield,2,1200.0,2.0,2.0,46.13
6280,Super built-up  Area,1,others,2,1060.0,2.0,2.0,37.0
6281,Super built-up  Area,1,others,2,1100.0,2.0,1.0,61.0
6282,Plot  Area,1,others,4,1350.0,4.0,2.0,225.0
6283,Plot  Area,1,others,5,1050.0,4.0,1.0,80.0
6284,Super built-up  Area,1,Hennur Road,3,1250.0,2.0,1.0,77.88
6285,Super built-up  Area,0,others,2,1100.0,2.0,2.0,110.0
6286,Plot  Area,0,Whitefield,2,1200.0,2.0,1.0,46.13
6287,Super built-up  Area,1,others,3,1420.0,2.0,2.0,46.0
6288,Super built-up  Area,0,Electronic City,3,1500.0,2.0,1.0,78.0
6289,Built-up  Area,1,others,3,1942.0,3.0,1.0,155.0
6290,Super built-up  Area,0,Haralur Road,3,1985.0,3.0,2.0,130.0
6291,Super built-up  Area,0,Sarjapur  Road,1,950.0,1.0,0.0,39.9
6292,Plot  Area,1,others,3,1200.0,4.0,2.0,80.0
6293,Super built-up  Area,1,Green Glen Layout,3,1752.0,3.0,2.0,105.0
6294,Plot  Area,1,others,4,1200.0,3.0,2.0,120.0
6295,Plot  Area,1,others,5,1200.0,5.0,1.0,200.0
6296,Super built-up  Area,1,Old Madras Road,3,1480.0,2.0,2.0,84.0
6297,Plot  Area,1,others,3,600.0,4.0,1.0,81.0
6298,Super built-up  Area,1,Sarjapur  Road,3,1826.0,3.0,2.0,130.0
6299,Super built-up  Area,1,8th Phase JP Nagar,2,1035.0,2.0,1.0,39.33
6301,Built-up  Area,1,Kasavanhalli,3,1667.0,3.0,2.0,92.0
6302,Super built-up  Area,1,Thanisandra,2,934.0,2.0,2.0,55.0
6304,Super built-up  Area,1,Mahadevpura,3,1620.0,2.0,1.0,76.0
6305,Super built-up  Area,0,Electronic City,2,1070.0,2.0,1.0,47.0
6306,Built-up  Area,1,Hosur Road,5,3600.0,5.0,3.0,180.0
6307,Super built-up  Area,0,Uttarahalli,3,1280.0,2.0,2.0,60.0
6308,Super built-up  Area,1,others,2,1400.0,2.0,2.0,60.0
6310,Built-up  Area,1,others,2,1330.0,2.0,1.0,64.0
6312,Super built-up  Area,0,Electronic City Phase II,3,1611.0,2.0,2.0,48.33
6313,Super built-up  Area,1,Whitefield,3,1405.0,3.0,2.0,58.0
6314,Super built-up  Area,1,others,3,1515.0,3.0,3.0,90.0
6315,Super built-up  Area,1,Thigalarapalya,3,1830.0,4.0,2.0,150.0
6316,Built-up  Area,1,Kaggadasapura,3,1710.0,3.0,0.0,60.0
6317,Built-up  Area,1,others,2,935.0,2.0,1.0,51.5
6318,Super built-up  Area,0,Jakkur,3,2197.0,3.0,2.0,136.0
6319,Plot  Area,1,TC Palaya,4,600.0,4.0,0.0,65.0
6321,Built-up  Area,1,Brookefield,3,1410.0,2.0,0.0,80.0
6322,Super built-up  Area,1,Jakkur,2,1125.0,2.0,2.0,65.0
6323,Super built-up  Area,1,others,3,1191.0,2.0,1.0,55.38
6324,Super built-up  Area,1,others,2,1200.0,2.0,2.0,79.0
6325,Super built-up  Area,1,CV Raman Nagar,3,1525.0,2.0,3.0,67.0
6326,Super built-up  Area,1,others,3,1464.0,3.0,3.0,56.0
6327,Super built-up  Area,0,others,2,920.0,2.0,1.0,27.0
6328,Built-up  Area,1,Yelahanka,1,651.0,1.0,1.0,17.5
6329,Super built-up  Area,1,others,2,600.0,1.0,2.0,25.0
6331,Super built-up  Area,1,Thanisandra,2,1185.0,2.0,2.0,44.0
6332,Super built-up  Area,0,Electronics City Phase 1,2,1190.0,2.0,1.0,68.0
6334,Super built-up  Area,0,Whitefield,4,2856.0,5.0,0.0,158.5
6335,Super built-up  Area,1,Whitefield,2,1355.0,2.0,3.0,73.0
6336,Plot  Area,1,KR Puram,2,1200.0,1.0,0.0,65.0
6337,Plot  Area,1,Kundalahalli,4,7000.0,4.0,3.0,550.0
6338,Plot  Area,1,Ramamurthy Nagar,6,1200.0,4.0,1.0,110.0
6339,Super built-up  Area,1,Yelahanka New Town,1,500.0,2.0,1.0,24.0
6340,Super built-up  Area,1,Bommasandra Industrial Area,3,1250.0,3.0,3.0,50.0
6341,Built-up  Area,1,Uttarahalli,3,1480.0,2.0,1.0,58.0
6342,Built-up  Area,1,Ambalipura,4,3300.0,4.0,2.0,329.0
6344,Super built-up  Area,1,others,2,1206.0,2.0,1.0,53.0
6345,Super built-up  Area,0,Rajaji Nagar,2,1357.0,2.0,1.0,130.0
6346,Built-up  Area,1,Hosakerehalli,2,925.0,2.0,1.0,46.5
6347,Super built-up  Area,1,8th Phase JP Nagar,2,909.0,2.0,1.0,40.9
6348,Plot  Area,1,others,3,3000.0,5.0,2.0,335.0
6349,Built-up  Area,1,Brookefield,2,1100.0,2.0,1.0,55.0
6350,Plot  Area,0,Malleshwaram,4,3000.0,5.0,2.0,815.0
6353,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1306.0,2.0,2.0,44.17
6354,Plot  Area,1,others,4,1200.0,4.0,1.0,95.0
6355,Super built-up  Area,1,Kalena Agrahara,1,610.0,1.0,1.0,39.0
6356,Super built-up  Area,1,Yelahanka,3,1484.0,2.0,2.0,56.4
6357,Super built-up  Area,0,Ramamurthy Nagar,2,1125.0,2.0,1.0,47.0
6359,Super built-up  Area,0,Whitefield,4,2882.0,5.0,1.0,158.0
6360,Plot  Area,1,Vidyaranyapura,4,750.0,4.0,0.0,88.0
6361,Super built-up  Area,1,Kundalahalli,3,2075.0,3.0,1.0,115.0
6362,Built-up  Area,1,others,2,1250.0,2.0,1.0,58.0
6363,Super built-up  Area,1,others,2,1272.0,2.0,2.0,51.5
6364,Plot  Area,1,others,4,1050.0,3.0,2.0,125.0
6365,Super built-up  Area,0,others,2,625.0,2.0,1.0,24.0
6366,Built-up  Area,1,others,1,840.0,2.0,2.0,50.0
6367,Super built-up  Area,1,Hennur Road,4,2502.0,4.0,2.0,180.0
6368,Super built-up  Area,1,others,1,583.0,1.0,1.0,26.9
6369,Super built-up  Area,0,others,2,900.0,2.0,1.0,27.0
6372,Built-up  Area,0,Kanakapura,3,2200.0,3.0,1.0,121.0
6373,Super built-up  Area,0,Whitefield,1,750.0,1.0,1.0,51.0
6374,Super built-up  Area,1,Marathahalli,3,1600.0,3.0,3.0,58.0
6375,Super built-up  Area,1,Chikkalasandra,3,1365.0,2.0,2.0,49.0
6376,Built-up  Area,0,others,3,1300.0,3.0,2.0,64.0
6377,Built-up  Area,1,others,1,1200.0,1.0,0.0,69.0
6378,Super built-up  Area,1,Hormavu,2,1260.0,2.0,2.0,35.0
6379,Super built-up  Area,1,Electronics City Phase 1,2,1190.0,2.0,2.0,33.92
6380,Super built-up  Area,1,Hosakerehalli,3,2480.0,4.0,1.0,260.0
6381,Super built-up  Area,0,others,3,1250.0,3.0,2.0,38.0
6382,Built-up  Area,1,Kaggadasapura,3,1500.0,3.0,0.0,75.0
6383,Super built-up  Area,1,others,3,1510.0,3.0,3.0,47.57
6384,Super built-up  Area,0,7th Phase JP Nagar,2,1187.0,2.0,1.0,59.0
6385,Super built-up  Area,1,Kundalahalli,2,1120.0,2.0,1.0,53.76
6386,Super built-up  Area,0,Whitefield,2,1115.0,2.0,0.0,34.555
6387,Super built-up  Area,1,others,3,1717.0,3.0,3.0,99.0
6389,Super built-up  Area,1,others,2,1100.0,2.0,2.0,58.0
6390,Plot  Area,1,others,1,1200.0,1.0,0.0,48.0
6391,Built-up  Area,1,Bannerghatta Road,3,1465.0,2.0,1.0,45.87
6392,Plot  Area,1,Kothanur,1,1500.0,1.0,0.0,75.0
6393,Plot  Area,1,others,5,4050.0,4.0,1.0,600.0
6394,Super built-up  Area,1,Haralur Road,3,1255.0,2.0,1.0,90.0
6395,Super built-up  Area,1,5th Phase JP Nagar,2,1220.0,2.0,3.0,88.0
6396,Built-up  Area,0,Electronic City Phase II,2,1065.0,2.0,1.0,30.88
6397,Built-up  Area,1,others,3,1765.0,3.0,3.0,80.0
6398,Super built-up  Area,1,Bellandur,2,1281.0,2.0,2.0,87.0
6399,Super built-up  Area,1,Electronic City,2,1210.0,2.0,2.0,25.0
6400,Carpet  Area,1,Kaggadasapura,2,1215.0,2.0,3.0,43.0
6401,Plot  Area,1,Ananth Nagar,4,1200.0,3.0,1.0,87.0
6402,Super built-up  Area,1,Mysore Road,2,1237.0,2.0,2.0,73.0
6403,Super built-up  Area,1,Lakshminarayana Pura,2,1300.0,2.0,1.0,70.0
6404,Super built-up  Area,1,Whitefield,2,1105.0,2.0,2.0,39.99
6405,Super built-up  Area,1,Chandapura,3,1505.0,2.0,2.0,42.0
6407,Built-up  Area,1,Banashankari,2,1186.0,2.0,3.0,65.0
6408,Plot  Area,1,others,4,900.0,3.0,1.0,51.0
6409,Super built-up  Area,1,Kengeri,2,750.0,2.0,1.0,35.5
6410,Built-up  Area,1,Varthur,2,1083.0,2.0,2.0,28.0
6411,Built-up  Area,1,others,3,1430.0,2.0,1.0,78.65
6412,Super built-up  Area,1,Thanisandra,2,1056.0,2.0,2.0,68.0
6413,Super built-up  Area,1,others,3,2108.0,3.0,3.0,85.0
6414,Super built-up  Area,1,Banashankari,3,1650.0,3.0,2.0,101.0
6415,Built-up  Area,0,Electronic City Phase II,3,1220.0,3.0,1.0,36.6
6416,Super built-up  Area,1,others,2,1198.0,2.0,1.0,54.0
6417,Super built-up  Area,1,others,2,1190.0,2.0,1.0,70.0
6418,Built-up  Area,0,others,2,900.0,2.0,1.0,41.0
6419,Super built-up  Area,0,others,4,2690.0,4.0,2.0,185.0
6420,Built-up  Area,1,Kanakapura,2,1340.0,2.0,2.0,65.0
6421,Plot  Area,0,others,4,2940.0,3.0,2.0,2250.0
6422,Plot  Area,1,others,6,2400.0,6.0,1.0,400.0
6424,Super built-up  Area,0,Yelahanka,2,1260.0,2.0,2.0,59.2
6425,Super built-up  Area,0,Talaghattapura,3,2254.0,3.0,2.0,153.0
6426,Super built-up  Area,1,Old Madras Road,3,2990.0,5.0,1.0,210.0
6427,Built-up  Area,1,others,4,1800.0,5.0,1.0,250.0
6428,Built-up  Area,1,JP Nagar,2,820.0,2.0,1.0,45.0
6429,Super built-up  Area,1,Electronic City,2,1296.0,2.0,2.0,65.0
6430,Super built-up  Area,1,Uttarahalli,2,1190.0,2.0,1.0,53.55
6431,Super built-up  Area,0,Whitefield,2,1173.0,2.0,1.0,77.0
6432,Plot  Area,0,others,3,1800.0,3.0,2.0,90.0
6433,Built-up  Area,1,Yelahanka,2,1102.0,2.0,0.0,52.0
6434,Super built-up  Area,1,Sarjapur,2,913.0,2.0,1.0,36.0
6435,Super built-up  Area,0,Hormavu,3,1176.0,2.0,1.0,35.27
6438,Super built-up  Area,0,Yelahanka,2,1519.0,2.0,3.0,65.0
6440,Super built-up  Area,0,others,3,1594.0,3.0,2.0,99.0
6441,Super built-up  Area,1,others,2,1250.0,2.0,1.0,68.0
6442,Super built-up  Area,1,Haralur Road,2,1056.0,2.0,1.0,60.0
6443,Plot  Area,0,Whitefield,3,1200.0,3.0,1.0,68.4
6444,Plot  Area,1,others,2,1290.0,1.0,0.0,77.5
6445,Built-up  Area,1,others,2,1150.0,2.0,1.0,48.0
6446,Super built-up  Area,1,others,2,1464.0,2.0,1.0,145.0
6447,Plot  Area,1,Anekal,4,1200.0,2.0,1.0,36.0
6448,Built-up  Area,1,others,2,861.0,2.0,0.0,36.5
6449,Super built-up  Area,1,Kundalahalli,2,1047.0,2.0,1.0,82.62
6450,Plot  Area,1,others,2,1200.0,2.0,0.0,75.0
6452,Built-up  Area,1,others,2,1065.0,2.0,1.0,45.0
6453,Built-up  Area,1,Rajaji Nagar,3,2300.0,3.0,3.0,369.0
6454,Super built-up  Area,1,Ramamurthy Nagar,2,1000.0,2.0,1.0,62.0
6455,Super built-up  Area,1,others,3,1682.0,3.0,1.0,113.0
6456,Super built-up  Area,1,Harlur,3,1756.0,3.0,2.0,131.0
6457,Plot  Area,1,others,5,4000.0,4.0,2.0,1000.0
6458,Super built-up  Area,1,others,4,1050.0,4.0,2.0,90.0
6459,Super built-up  Area,1,Vittasandra,2,1238.0,2.0,1.0,67.32
6460,Super built-up  Area,1,others,2,814.0,2.0,1.0,42.0
6461,Built-up  Area,1,Dodda Nekkundi,2,1145.0,2.0,1.0,46.5
6462,Super built-up  Area,1,Varthur,2,965.0,2.0,1.0,34.0
6463,Super built-up  Area,1,others,2,750.0,2.0,1.0,36.0
6464,Built-up  Area,1,Banashankari,3,1300.0,2.0,2.0,55.0
6465,Super built-up  Area,0,others,3,1590.0,3.0,3.0,131.0
6466,Super built-up  Area,0,Begur Road,1,644.0,1.0,1.0,40.0
6467,Super built-up  Area,0,Whitefield,2,982.0,2.0,1.0,37.0
6468,Super built-up  Area,1,Indira Nagar,2,1260.0,2.0,2.0,100.0
6469,Super built-up  Area,1,others,3,1555.0,3.0,2.0,75.17
6470,Built-up  Area,1,others,4,2500.0,4.0,1.0,450.0
6471,Super built-up  Area,0,Kaggadasapura,2,1225.0,2.0,2.0,48.0
6472,Super built-up  Area,1,Electronics City Phase 1,2,1085.0,2.0,1.0,46.0
6473,Super built-up  Area,1,Rajaji Nagar,3,1640.0,3.0,2.0,220.0
6474,Built-up  Area,0,Thanisandra,3,1595.0,3.0,1.0,110.0
6475,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1196.0,2.0,2.0,40.44
6476,Super built-up  Area,0,Yelahanka,3,1859.0,3.0,1.0,108.0
6477,Super built-up  Area,0,9th Phase JP Nagar,2,1079.0,2.0,1.0,60.0
6478,Built-up  Area,1,others,2,550.0,1.0,1.0,27.0
6479,Super built-up  Area,1,Whitefield,2,1118.0,2.0,1.0,42.0
6480,Super built-up  Area,1,CV Raman Nagar,2,1198.0,2.0,2.0,60.0
6482,Super built-up  Area,1,Thigalarapalya,3,1830.0,4.0,2.0,135.0
6483,Super built-up  Area,0,others,2,1160.0,2.0,1.0,59.0
6484,Super built-up  Area,1,others,3,1485.0,2.0,1.0,156.0
6485,Super built-up  Area,1,others,3,2070.0,3.0,3.0,135.0
6486,Plot  Area,1,others,6,750.0,4.0,1.0,150.0
6487,Built-up  Area,0,others,2,957.0,2.0,0.0,52.5
6488,Plot  Area,1,others,5,2400.0,4.0,1.0,310.0
6489,Super built-up  Area,0,Bannerghatta Road,2,1268.0,2.0,1.0,69.0
6490,Super built-up  Area,1,Bannerghatta Road,3,1450.0,2.0,2.0,87.0
6491,Built-up  Area,1,others,3,1600.0,2.0,2.0,75.0
6492,Super built-up  Area,1,Uttarahalli,3,1330.0,2.0,1.0,57.0
6493,Super built-up  Area,1,Jakkur,3,1355.0,2.0,2.0,65.0
6495,Super built-up  Area,1,others,2,1100.0,2.0,1.0,38.49
6497,Super built-up  Area,1,Chikkalasandra,2,1075.0,2.0,1.0,46.76
6498,Super built-up  Area,1,others,2,800.0,2.0,1.0,55.0
6500,Built-up  Area,1,others,2,900.0,1.0,1.0,44.0
6501,Super built-up  Area,1,Haralur Road,2,1140.0,2.0,1.0,42.0
6502,Super built-up  Area,1,others,3,1480.0,2.0,2.0,125.0
6503,Super built-up  Area,0,Padmanabhanagar,3,1710.0,2.0,2.0,90.63
6504,Super built-up  Area,0,Talaghattapura,3,2106.0,3.0,3.0,148.0
6507,Plot  Area,1,others,3,800.0,3.0,2.0,120.0
6509,Super built-up  Area,1,Sarjapur  Road,3,1660.0,2.0,2.0,116.0
6510,Super built-up  Area,1,Electronic City Phase II,3,1549.0,3.0,2.0,80.0
6511,Super built-up  Area,0,Marathahalli,1,700.0,1.0,1.0,38.0
6512,Super built-up  Area,0,Balagere,2,1012.0,2.0,1.0,64.0
6514,Super built-up  Area,0,Whitefield,2,1216.0,2.0,1.0,69.0
6515,Super built-up  Area,1,Electronic City Phase II,2,1065.0,2.0,1.0,56.13
6516,Super built-up  Area,0,Thanisandra,3,1411.0,3.0,1.0,93.15
6517,Super built-up  Area,1,others,2,1400.0,2.0,2.0,57.5
6518,Super built-up  Area,1,others,3,1250.0,3.0,2.0,29.0
6519,Super built-up  Area,1,Haralur Road,2,1245.0,2.0,3.0,62.0
